,INN_CT,RBI_CT,PA_BALL_CT,EVENT_OUTS_CT,BAT_DEST_ID,SCORE_DIFF,PIT_COUNT
0,6,0,2,1,0,2,105
1,8,0,1,1,0,-2,96
2,8,0,4,0,1,1,108
3,6,0,1,1,0,-1,99
4,6,0,4,0,1,1,129
5,7,0,3,1,0,-9,98
6,5,0,3,1,0,0,88
7,5,0,2,1,0,0,100
8,7,1,1,0,1,-7,83
9,4,0,0,1,0,5,69
10,6,1,0,0,1,3,105
11,8,0,0,1,0,-5,121
12,7,0,0,0,1,-5,85
13,5,0,3,0,1,5,61
14,7,1,0,0,1,-11,114
15,2,0,2,1,0,3,30
16,7,1,1,0,1,1,99
17,7,0,2,1,0,-2,80
18,6,0,1,1,0,-1,83
19,5,0,4,0,1,1,89
20,5,0,4,0,1,2,79
21,7,0,2,1,0,-2,107
22,7,0,1,0,2,1,113
23,8,0,0,1,0,-1,111
24,8,0,1,1,0,1,106
25,7,0,2,1,2,-1,94
26,4,1,2,0,1,2,66
27,6,0,1,0,2,-5,115
28,5,0,3,0,1,-2,87
29,5,0,1,0,1,1,82
30,5,0,4,0,1,3,83
31,6,0,0,0,1,-3,91
32,8,1,1,0,2,-6,108
33,5,0,1,0,1,6,86
34,2,1,3,0,1,0,25
35,4,0,3,1,0,6,77
36,8,0,2,0,1,1,115
37,5,0,0,1,0,-1,73
38,6,0,3,1,0,2,96
39,8,0,3,1,0,-1,124
40,7,0,1,1,0,0,97
41,7,1,1,0,1,0,75
42,7,0,1,0,1,3,114
43,7,1,2,0,2,-5,89
44,7,0,1,0,2,2,108
45,8,0,2,0,1,-4,101
46,8,1,2,0,2,0,99
47,7,0,0,1,0,1,92
48,6,0,1,1,0,-1,88
49,7,0,2,1,0,1,100
50,7,0,0,1,0,-4,103
51,3,1,0,0,1,4,53
52,7,0,1,1,0,-2,87
53,6,0,0,1,0,2,103
54,7,0,4,0,1,1,90
55,3,2,0,0,2,-1,51
56,7,0,0,1,0,4,90
57,8,0,3,1,0,-6,119
58,6,0,1,1,0,2,112
59,8,0,2,1,0,0,106
60,6,0,2,1,0,7,93
61,7,0,2,1,0,-7,111
62,7,0,1,1,0,-2,116
63,6,0,1,2,0,2,105
64,7,0,1,1,0,1,108
65,7,0,0,1,0,0,88
66,5,0,2,1,0,1,87
67,7,0,0,1,0,-4,103
68,7,0,0,1,0,0,103
69,5,0,0,1,0,0,99
70,7,0,1,0,1,-3,97
71,5,1,2,0,2,3,87
72,6,0,4,0,1,0,96
73,7,0,1,1,0,-1,95
74,7,0,3,1,0,2,93
75,7,0,2,0,2,-2,105
76,6,0,4,0,1,1,92
77,7,0,0,0,1,3,112
78,8,0,1,1,0,0,95
79,8,1,0,0,1,0,137
80,8,0,4,0,1,-6,112
81,3,0,0,0,1,4,58
82,7,0,2,2,0,-6,100
83,5,0,0,0,1,7,90
84,8,0,0,0,1,1,99
85,7,0,2,1,0,-1,105
86,8,0,0,1,0,-3,86
87,6,1,1,0,1,-3,84
88,6,0,1,0,1,3,88
89,8,0,0,0,1,-4,109
90,8,0,1,1,0,-2,87
91,5,0,2,1,0,5,91
92,6,0,1,1,1,3,100
93,5,0,1,1,0,-3,107
94,7,0,2,1,1,-6,110
95,4,1,2,0,1,4,82
96,6,0,0,0,1,0,92
97,9,0,2,1,0,0,120
98,8,0,0,1,1,2,122
99,8,0,3,0,2,0,112
100,7,0,2,1,0,2,101
101,7,0,2,1,0,-5,95
102,3,1,2,0,2,6,62
103,5,0,2,1,0,-4,82
104,7,0,1,0,1,1,93
105,6,0,4,0,1,-1,94
106,6,2,2,0,4,2,101
107,9,1,2,0,1,-4,122
108,7,0,0,1,0,1,92
109,9,0,2,0,1,-4,115
110,5,0,2,1,0,-1,94
111,7,0,0,1,0,1,110
112,7,2,0,0,3,2,93
113,5,1,1,0,1,-2,91
114,5,0,3,0,1,0,63
115,6,3,1,0,3,0,93
116,7,0,0,0,1,-5,115
117,8,3,2,0,5,-4,107
118,5,0,3,1,0,3,89
119,6,0,0,1,0,3,97
120,5,0,1,1,0,-3,64
121,6,0,2,1,0,-3,73
122,2,0,3,0,1,5,28
123,8,0,2,1,0,0,103
124,7,0,2,1,0,0,104
125,6,0,2,1,0,2,105
126,6,0,4,0,1,-1,98
127,8,0,0,1,0,1,118
128,7,0,3,1,0,-1,94
129,7,0,2,1,0,-6,101
130,4,1,0,0,1,4,76
131,3,0,3,1,0,5,65
