,EVENT_ID,GAME_ID,PITCH_SEQ_TX,PIT_ID,INN_CT,RBI_CT,PA_BALL_CT,BAT_DEST_ID,EVENT_OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,BAT_HOME_ID,PIT_COUNT,SCORE_DIFF,TEAM_WINS
0,45,SEA200110170,FBBX,selea001,6,0,2,0,1,1,3,0,105,-2,False
1,61,SEA200110170,BSX,petta001,8,0,1,0,1,1,3,1,96,2,True
2,60,SEA200110180,BFBBB,garcf002,8,0,4,1,0,2,3,0,108,-1,False
3,50,SEA200110180,FCBS,mussm001,6,0,1,0,1,2,3,1,99,1,True
4,44,NYA200110200,BFBBB,herno001,6,0,4,1,0,2,3,0,129,-1,False
5,69,NYA200110200,CBCBBFX,moyej001,7,0,3,0,1,2,11,1,98,9,True
6,39,NYA200110210,BCBBX,clemr001,5,0,3,0,1,0,0,0,88,0,False
7,45,NYA200110210,CBBCX,abbop001,5,0,2,0,1,0,0,1,100,0,False
8,61,NYA200110220,BX,petta001,7,1,1,1,0,9,2,0,83,7,True
9,34,NYA200110220,CX,selea001,4,0,0,0,1,5,0,1,69,-5,False
10,47,SEA200110090,SX,garcf002,6,1,0,1,0,0,3,0,105,-3,False
11,68,SEA200110090,X,colob001,8,0,0,0,1,0,5,1,121,5,True
12,49,SEA200110110,X,moyej001,7,0,0,1,0,5,0,0,85,5,True
13,37,SEA200110110,BBCBX,finlc001,5,0,3,1,0,5,0,1,61,-5,False
14,66,CLE200110130,CCX,sabac001,7,1,0,1,0,12,1,0,114,11,True
15,22,CLE200110130,BCBSX,selea001,2,0,2,0,1,4,1,1,30,-3,False
16,52,CLE200110140,BX,colob001,7,1,1,1,0,1,2,0,99,-1,False
17,55,CLE200110140,FBBX,garcf002,7,0,2,0,1,1,3,1,80,2,True
18,46,SEA200110150,CBX,moyej001,6,0,1,0,1,2,1,0,83,1,True
19,41,SEA200110150,BBBB,finlc001,5,0,4,1,0,2,1,1,89,-1,False
20,39,NYA200110100,BBCBB,clemr001,5,0,4,1,0,0,2,0,79,-2,False
21,63,NYA200110100,FBFBX,muldm001,7,0,2,0,1,1,3,1,107,2,True
22,49,NYA200110110,BX,petta001,7,0,1,2,0,0,1,0,113,-1,False
23,65,NYA200110110,SX,hudst001,8,0,0,0,1,0,1,1,111,1,True
24,54,OAK200110130,CBCS,zitob001,8,0,1,0,1,0,1,0,106,-1,False
25,51,OAK200110130,CSBBFX,mussm001,7,0,2,2,1,0,1,1,94,1,True
26,36,OAK200110140,BBX,lidlc001,4,1,2,1,0,2,4,0,66,-2,False
27,62,OAK200110140,BCX,herno001,6,0,1,2,0,2,7,1,115,5,True
28,45,NYA200110150,FSBFBH,clemr001,5,0,3,1,0,4,2,0,87,2,False
29,50,NYA200110150,BFCX,muldm001,5,0,1,1,0,4,3,1,82,-1,False
30,41,ANA200104100,BFBBB,rappp001,5,0,4,1,0,3,6,0,83,-3,False
31,59,ANA200104100,FX,olivd001,6,0,0,1,0,4,7,1,91,3,True
32,68,ANA200104110,BCX,ortir002,8,1,1,2,0,7,1,0,108,6,True
33,41,ANA200104110,CFBX,glynr001,5,0,1,1,0,6,0,1,86,-6,False
34,10,ANA200104120,CBSBBX,wisem001,2,1,3,1,0,0,0,0,25,0,False
35,41,ANA200104120,SBFBBFS,hellr001,4,0,3,0,1,7,1,1,77,-6,False
36,60,ANA200104130,CBBX,schos001,8,0,2,1,0,2,3,0,115,-1,False
37,44,ANA200104130,X,tomkb001,5,0,0,0,1,2,3,1,73,1,False
38,43,ANA200104140,BBCBFFX,valdi001,6,0,3,0,1,0,2,0,96,-2,False
39,61,ANA200104140,BBCBFFX,garcf002,8,0,3,0,1,1,2,1,124,1,True
40,47,ANA200104150,BX,rappp001,7,0,1,0,1,1,1,0,97,0,False
41,51,ANA200104150,BX,halaj001,7,1,1,1,0,1,1,1,75,0,False
42,54,ANA200104160,BCX,washj001,7,0,1,1,0,1,4,0,114,-3,False
43,60,ANA200104160,BBCFX,muldm001,7,1,2,2,0,1,6,1,89,5,True
44,55,ANA200104170,CFBX,ortir002,7,0,1,2,0,1,3,0,108,-2,False
45,68,ANA200104170,BBX,hudst001,8,0,2,1,0,1,5,1,101,4,True
46,58,ANA200104180,BCBFX,schos001,8,1,2,2,0,1,1,0,99,0,False
47,52,ANA200104180,X,lidlc001,7,0,0,0,1,1,0,1,92,-1,False
48,47,ANA200105010,CBFS,rappp001,6,0,1,0,1,4,3,0,88,1,True
49,60,ANA200105010,CBCFBFFS,welld001,7,0,2,0,1,4,3,1,100,-1,False
